subject,body,target_value
Java Concurrency Exercises,"All need to submit the following seven exercises without fail before the next session, those who attended the last session have already completed (mostly) need to submit homework exercises for C++ Concurrency lesson. 

IMportantly those who did not attend these two session need to complet C++ and Java Exercises and need to submit before next session.

1: WAPIJ to print main thread properties such as ID, name, status etc.
2: WAPIJ to create and start additional thread extending Thread class 
3: WAPIJ to create and start additional thread implementing Runnable interface
4: WAPIJ to illustrate thread sleeping and getting interrupted
5.  WAPIJ to illustrate joining of threads
6. WAPIJ to do multiple deposits and withdrawal of different values  by different threads (10+) to an account balance implementing correctly and naivly while maintaining a minimum balance of 1000 Rs.
7. WAPIJ to repeat exercises six above with coarse and fine grained synchronization and observe and plot impact on speed. 

Plagiarism and correctness will be checked !",1
Final Stretch of Run,"Dear Students,

Many of you are such committed, sincere and hardworking students that I am fortunate to have in HP course so much so that I can not stop telling my colleagues in university and even in IISc, about how proud I feel of you.

We are in the final stretch of run whereby I am planning the final evaluation of a project with a weightage of 25 marks in a week or so and the exact schedule will be intimated. For  this you need at the least ACM journal format detailed report for which template is already shared as well as final ppt and demo (preferably video)

I encourage you to additionally consider contributing an A3 or bigger size poster conveying your project and contribution graphically to any layman.

Many of you have already started reviewing courses, I will be soon scheduling some review sessions as well and it is important to you to do given reading and important programming exercises record your doubt formally in the excel sheet shared in a lesson wise fashion.

I wish you all good luck, health and a great career!",0
Clarification Regarding Project Review Forms,"Dear All

Some of you are mailing your project review forms to the CCs, some of you are mailing it to Rithvik and some to me. Due to this all the forms are scattered around in the inbox of different students :(

Since sir wants a consolidated .zip of all the forms of each team. I request you to follow the below instructions very carefully and do the needful by 10:00 P.M. today.

All teams are requested to send in one form (per team) replying to this mail,  copying sir mentioning your team number. Please only send one mail per team and mention your team number. Please send the editable version (.docx) and not a PDF!",0
Regarding HP project presentation!,"Dear All,


Today is the last date to Present your Project proposal. Reviews we have started already(1204) . Please appear for the same.


Thanks and Regards,



Priya K,

PhD Scholar | Computer Science | PES University

M:  +919916363065

E:   priyak@pesu.pes.edu ",0
People Present today (and last session was),"People who were present can submit their 7 exercises as ex1.java, ex2.java ....in single zip file as <name>.zip with their name in subject line.
Dr. Rahul",1
Re: Session Attendance,"You need to submit all exercises though and confirm completely seeing the live session by email as and when you complete it so is everybody.
This is to be strictly adhered by all without any excuse and better not be piled up but complete as an ongoing regular basis.

On Mon, Apr 13, 2020 at 3:01 PM Vishwas Rajashekar <vishuscorpio26@gmail.com> wrote:
Respected Sir,

Due to the fact that I have connection issues during the daytime, I cannot attend live sessions. Unfortunately, this is out of my control. 

I catch up on the lectures after peak hours (after midnight).

I sincerely apologise for my absence during the live sessions.

Thank you.

Regards,
Vishwas",1
People Missing from Live Session,are missing important hands on exercises for exams. this has been noted.,0
LIve Session Today,"Will have hand-on parallel java exercises.
Come read with Java setup.
Many have not attended last sessions. This will hurt them and they may find important to attend today!",1
CoronaCoating/Re: Project Proposals Related to COVID19 and Rapidly Communicable Diseases,"On Fri, Apr 10, 2020 at 4:25 PM Dr.Rahul Nagpal pesu CSE Staff <rahuln_pes_projects@pes.edu> wrote:
.
DO think and do your bit.
Remember if your effort comes even close to saving any life, you have done your bit as human! 

On Mon, Apr 6, 2020 at 11:45 PM Dr.Rahul Nagpal pesu CSE Staff <rahuln_pes_projects@pes.edu> wrote:
Some have shown interest. please send  proposals by 12/04/2020
you can do more than you think if you think more!

On Sun, Apr 5, 2020 at 1:11 AM Dr.Rahul Nagpal pesu CSE Staff <rahuln_pes_projects@pes.edu> wrote:
Dear All,

As you know COVID 19 has changed our perspective towards life, death and everything in between. Scientific community at large is looking at ways to detect, manage and cope with this pandemic before any cure is available which does not seem like an immediate possibility.

Projects Proposals are invited in the area of interest of lab as well as beyond related to COVID 19 and rapidly communicable diseases in general. 

Proposals can be related to modeling, managing as well as various coping mechanisms with a purely mathematical and/or simulation based approach to doing interdisciplinary research upto and including drug discovery.

Following page will give you some ideas on some of the ongoing projects  for the purpose of provoking thoughts for building proposals https://covid19.iisc.ac.in/

Best Regards,
======================================================================



Dr. Rahul Nagpal, MS, PhD (IISc., Bangalore)

Professor | Computer Science | PES University

P:    91-080-2672-2449-708  | M:  +919880472190 

E:   rahulnagpal@pes.edu    | S:   nagpal.rahul

A:   02S4, Dept of CSE, PES University BSK III Stage, Bengaluru - 85

======================================================================

Papers  |  https://dblp.org/pers/hd/n/Nagpal:Rahul

Patents |  https://patents.google.com/?inventor=Rahul+Nagpal",0
Validated and Authentic Information about COVID19,"Dear All

Scientifically Validated and Authentic information is now available  in various languages through  https://covid-gyan.in/

Rely on correct information not rumours for the safety of you and your near and dear ones!

Please assimilate and spread faster than COVID19 to save others!

Thanks
Dr. Rahul.",0
